Country,Export Capacity,Production,OPEC,OPEC+,Crude Grade,Current Export to India,Strategic Notes
Ecuador,0.3 - 0.4 million bpd,0.48 million bpd,No,No,"Heavy Sour (Napo, Oriente)",Backup / Spot,Exports heavy crude via Pacific ports.
Argentina,0.1 - 0.2 million bpd,0.65 million bpd,No,No,Light Sweet (Medanito),Backup / Emerging,Boom in Vaca Muerta shale provides light sweet crude.
Chad,0.06 - 0.08 million bpd,0.08 million bpd,No,No,Heavy Sweet (Doba),Backup / Low,Heavy sweet crude exported via Chad-Cameroon pipeline.
South Sudan,0.1 - 0.13 million bpd,0.14 million bpd,No,Yes,Heavy Sweet (Dar Blend),Backup / Low,Produces Dar Blend; piped to Red Sea ports.
Niger,0.08 - 0.1 million bpd,0.11 million bpd,No,No,Medium Sweet,Backup / Emerging,New pipeline to Benin opens up ~100k bpd export capacity.
Suriname,Under Development,0.03 million bpd,No,No,Medium-Light Sweet,Backup / Emerging,Emerging offshore producer with sweet reserves.
Papua New Guinea,0.03 - 0.05 million bpd,0.05 million bpd,No,No,Ultra Light / Condensate (Kutubu),Backup / Spot,High-quality light sweet condensate with direct Ocean route.
Turkmenistan,0.05 - 0.08 million bpd,0.18 million bpd,No,No,Medium Sweet (Cheleken),Backup / Spot,Cheleken crude exported across Caspian Sea via swap deals.
Trinidad & Tobago,0.02 - 0.04 million bpd,0.06 million bpd,No,No,Light Sweet,Backup / Spot,Spot producer of light sweet crude in Atlantic markets.
Ivory Coast,0.03 - 0.06 million bpd,0.07 million bpd,No,No,Medium Sweet (Baleine),Backup / Emerging,Expanding deepwater production.
Senegal,0.08 - 0.1 million bpd,0.1 million bpd,No,No,Medium Sweet (Sangomar),Backup / Emerging,Deepwater exporter offering light-medium crude.
